Question,Answer
nmap -sn,ប្រើសម្រាប់ធ្វើការស្កេនរកមើលម៉ាស៊ីនដែលកំពុងអនឡាញ (Host Discovery) ក្នុងបណ្តាញ Network។
nmap -sS,បច្ចេកទេសស្កេនបែប Stealth SYN Scan ដែលពិបាកនឹងឱ្យ Firewall ចាប់បាន។
nmap -A,ស្កេនរកមើលព័ត៌មានលម្អិតដូចជា OS Detection, Version Detection និង Script Scanning។
nmap -p-,ស្កេនរាល់ Port ទាំងអស់ចាប់ពីលេខ ១ ដល់ ៦៥៥៣៥។
metasploit,Framework ដ៏មានឥទ្ធិពលបំផុតសម្រាប់ធ្វើការតេស្តជ្រៀតចូល និង Exploit ចន្លោះប្រហោង។
msfvenom,ឧបករណ៍សម្រាប់បង្កើត Payload និងមេរោគ (Backdoor) សម្រាប់តេស្តលើ OS ផ្សេងៗ។
reverse_tcp,ការតភ្ជាប់ពីម៉ាស៊ីនជនរងគ្រោះមកកាន់ Hacker ដើម្បីបញ្ជាពីចម្ងាយ។
meterpreter,បន្ទះបញ្ជាកម្រិតខ្ពស់របស់ Metasploit ដែលអនុញ្ញាតឱ្យគ្រប់គ្រងម៉ាស៊ីនជនរងគ្រោះទាំងស្រុង។
wireshark,ឧបករណ៍សម្រាប់ស្ទាក់ចាប់ និងវិភាគកញ្ចប់ទិន្នន័យ (Packets) ក្នុង Network។
aircrack-ng,បណ្តុំឧបករណ៍សម្រាប់វាយប្រហារ និងបំបែកលេខកូដ Wi-Fi (WPA/WPA2)។
hashcat,ឧបករណ៍បំបែកលេខកូដ (Password Cracker) ដែលប្រើកម្លាំង GPU ល្បឿនលឿនបំផុត។
john the ripper,ឧបករណ៍បំបែកលេខកូដសម្ងាត់តាមរយៈបច្ចេកទេស Dictionary Attack។
hydra,ឧបករណ៍សម្រាប់ Brute Force ចូល Login សេវាកម្មដូចជា SSH, FTP, Telnet។
sqlmap,ឧបករណ៍ស្វ័យប្រវត្តិសម្រាប់ស្វែងរក និង Exploit ចន្លោះប្រហោង SQL Injection លើវេបសាយ។
burp suite,ឧបករណ៍សម្រាប់ស្ទាក់ចាប់ Request រវាង Browser និង Server ដើម្បីកែប្រែទិន្នន័យ។
xss attack,ការបញ្ចូលកូដ JavaScript ទៅក្នុងវេបសាយដើម្បីលួចយក Session ឬ Cookie របស់អ្នកប្រើប្រាស់។
